Budget,Revenue,Title,Average Vote,release_date,Release Year,"Revenue, USD mln","Budget, USD mln","Revenue Adjusted, USD mln",Revenue Adjusted,"Budget Adjusted, USD mln",Outlier,Starring Actors Popularity
140000000,655011224,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,2003-07-09,2003.0,655.011224,140.0,990.76324708717,990763247.0871701,211.76256147971566,False,867.1581951179376
127500000,354248063,Dinosaur,6.2,2000-05-19,2000.0,354.248063,127.5,585.5180721664044,585518072.1664044,210.73807311464836,False,572.043637302996
120000000,363258859,A Bug's Life,6.8,1998-11-25,1998.0,363.258859,120.0,636.9766080903813,636976608.0903814,210.42072636925218,False,267.8386221154492
116000000,178127760,Dante's Peak,5.7,1997-02-07,1997.0,178.12776,116.0,321.7185485424972,321718548.5424972,209.5089032216521,False,1533.6181686922334
170000000,400062763,TRON: Legacy,6.3,2010-12-10,2010.0,400.062763,170.0,492.02673674336376,492026736.74336374,209.07855712222795,False,1446.1138221983176
150000000,397850012,Mission: Impossible III,6.5,2006-05-03,2006.0,397.850012,150.0,550.7174620785272,550717462.0785272,207.6350806086669,False,7539.44237718124
150000000,599045960,Casino Royale,7.3,2006-11-14,2006.0,599.04596,150.0,829.2197079526417,829219707.9526416,207.6350806086669,False,295.71748591210593
137000000,245360480,Hulk,5.3,2003-06-19,2003.0,245.36048,137.0,371.1297409335182,371129740.9335182,207.22479230515032,False,494.4995161509263
125000000,546388105,Mission: Impossible II,5.9,2000-05-24,2000.0,546.388105,125.0,903.0962856506993,903096285.6506993,206.60595403396897,False,4856.612478434794
149000000,64459316,Flushed Away,6.0,2006-10-22,2006.0,64.459316,149.0,89.22676849093021,89226768.49093021,206.25084673794245,False,5197.240467972321
123000000,345141403,How the Grinch Stole Christmas,6.2,2000-11-17,2000.0,345.141403,123.0,570.4661507475005,570466150.7475005,203.30025876942548,False,3210.6304052810774
170000000,185770160,Hugo,7.0,2011-11-22,2011.0,185.77016,170.0,221.8192861745598,221819286.1745598,202.98889040993004,False,1548.5796270501078
165000000,494878759,How to Train Your Dragon,7.5,2010-03-05,2010.0,494.878759,165.0,608.6384522479927,608638452.2479928,202.9291877951036,False,1796.920158456407
165000000,752600867,Shrek Forever After,6.0,2010-05-16,2010.0,752.600867,165.0,925.6041374193986,925604137.4193987,202.9291877951036,False,6307.468672143432
180000000,407602906,Pacific Rim,6.7,2013-07-11,2013.0,407.602906,180.0,458.7606616846019,458760661.6846019,202.59158580000002,False,182.72437586251138
150000000,585349010,I Am Legend,6.9,2007-12-14,2007.0,585.34901,150.0,786.6601221718664,786660122.1718664,201.58745690161834,False,5951.460524807058
150000000,623722818,Ratatouille,7.5,2007-06-22,2007.0,623.722818,150.0,838.2313112808729,838231311.280873,201.58745690161834,False,532.3927950549122
150000000,938212738,Harry Potter and the Order of the Phoenix,7.4,2007-06-28,2007.0,938.212738,150.0,1260.8794659074954,1260879465.9074955,201.58745690161834,False,4924.726432610924
150000000,287594577,Bee Movie,5.7,2007-10-28,2007.0,287.594577,150.0,386.5030626408444,386503062.64084435,201.58745690161834,False,2436.793552172535
150000000,709709780,Transformers,6.6,2007-06-27,2007.0,709.70978,150.0,953.7905979227136,953790597.9227135,201.58745690161834,False,23.4396955884688
190000000,209154322,Tomorrowland,6.2,2015-05-19,2015.0,209.154322,190.0,221.8918202098,221891820.2098,201.571,False,4456.282754265534
190000000,1506249360,Furious 7,7.3,2015-04-01,2015.0,1506.24936,190.0,1597.979946024,1597979946.024,201.571,False,2429.1326209426106
125000000,976475550,Harry Potter and the Philosopher's Stone,7.5,2001-11-16,2001.0,976.47555,125.0,1566.9566027075307,1566956602.7075307,200.58830488734853,False,0.0
110000000,333011068,Tomorrow Never Dies,6.0,1997-12-11,1997.0,333.011068,110.0,601.4550311840605,601455031.1840605,198.67223581363564,False,1533.6181686922334
120000000,325756637,The Perfect Storm,6.2,2000-03-15,2000.0,325.756637,120.0,538.4260861622586,538426086.1622585,198.34171587261022,False,759.6932111716033
170000000,396600000,Snow White and the Huntsman,5.8,2012-05-30,2012.0,396.6,170.0,459.76809786738005,459768097.86738,197.076592631,False,2452.136255884986
175000000,150962475,47 Ronin,5.9,2013-12-06,2013.0,150.962475,175.0,169.90959559190478,169909595.59190476,196.96404175000004,False,3663.474002290611
160000000,825532764,Inception,8.1,2010-07-14,2010.0,825.532764,160.0,1015.3011714955572,1015301171.4955572,196.77981846797923,False,4563.019725731186
180000000,758539785,Maleficent,7.0,2014-05-28,2014.0,758.539785,180.0,828.8769036436951,828876903.643695,196.69086,False,4594.549462737482
130000000,273339556,Bad Boys II,6.3,2003-07-18,2003.0,273.339556,130.0,413.4506038020585,413450603.80205846,196.63666423116456,False,4024.5242416086553
115000000,924317558,Star Wars: Episode I - The Phantom Menace,6.3,1999-05-19,1999.0,924.317558,115.0,1573.588769823733,1573588769.823733,195.779802042589,False,660.1297794754995
150000000,163712074,The Incredible Hulk,6.1,2008-06-12,2008.0,163.712074,150.0,213.60712402426896,213607124.02426895,195.71597757438673,False,984.8319104198857
150000000,309979994,Bolt,6.3,2008-11-21,2008.0,309.979994,150.0,404.4535836947502,404453583.69475025,195.71597757438673,False,2577.5793413825895
150000000,624029371,Hancock,6.2,2008-07-01,2008.0,624.029371,150.0,814.216789202631,814216789.2026311,195.71597757438673,False,6584.095245520967
150000000,333932083,The Curious Case of Benjamin Button,7.3,2008-11-24,2008.0,333.932083,150.0,435.70562711864164,435705627.1186417,195.71597757438673,False,5556.699603992641
150000000,603900354,Madagascar: Escape 2 Africa,6.2,2008-10-30,2008.0,603.900354,150.0,787.952987604188,787952987.6041881,195.71597757438673,False,4225.527579890102
178000000,370541256,Edge of Tomorrow,7.6,2014-05-27,2014.0,370.541256,178.0,404.900435045112,404900435.045112,194.505406,False,8486.475648763348
