Title,Actor
Ocean's Twelve,Catherine Zeta-Jones
Mr. & Mrs. Smith,Angelina Jolie
Mr. & Mrs. Smith,Brad Pitt
Mr. & Mrs. Smith,Vince Vaughn
Insurgent,Shailene Woodley
Insurgent,Theo James
Insurgent,Kate Winslet
The Aviator,Leonardo DiCaprio
The Aviator,Cate Blanchett
The Aviator,Kate Beckinsale
Gulliver's Travels,Jack Black
Gulliver's Travels,Amanda Peet
Gulliver's Travels,Emily Blunt
The Green Hornet,Seth Rogen
The Green Hornet,Jay Chou
The Green Hornet,Christoph Waltz
300: Rise of an Empire,Sullivan Stapleton
300: Rise of an Empire,Eva Green
300: Rise of an Empire,Lena Headey
The Smurfs,Hank Azaria
The Smurfs,Neil Patrick Harris
The Smurfs,Jayma Mays
Home on the Range,Roseanne Barr
Home on the Range,Judi Dench
Home on the Range,Jennifer Tilly
Allegiant,Shailene Woodley
Allegiant,Theo James
Allegiant,Zoë Kravitz
Real Steel,Hugh Jackman
Real Steel,Dakota Goyo
Real Steel,Evangeline Lilly
The Smurfs 2,Hank Azaria
The Smurfs 2,Neil Patrick Harris
The Smurfs 2,Brendan Gleeson
Speed 2: Cruise Control,Sandra Bullock
Speed 2: Cruise Control,Jason Patric
Speed 2: Cruise Control,Willem Dafoe
Ender's Game,Asa Butterfield
Ender's Game,Harrison Ford
Ender's Game,Hailee Steinfeld
Live Free or Die Hard,Bruce Willis
Live Free or Die Hard,Justin Long
Live Free or Die Hard,Timothy Olyphant
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood
The Lord of the Rings: The Fellowship of the Ring,Ian McKellen
The Lord of the Rings: The Fellowship of the Ring,Cate Blanchett
Around the World in 80 Days,Jackie Chan
Around the World in 80 Days,Steve Coogan
Around the World in 80 Days,Cécile de France
Ali,Will Smith
Ali,Jamie Foxx
Ali,Jon Voight
The Cat in the Hat,Mike Myers
The Cat in the Hat,Dakota Fanning
The Cat in the Hat,Spencer Breslin
"I, Robot",Will Smith
"I, Robot",Bridget Moynahan
"I, Robot",Alan Tudyk
Kingdom of Heaven,Orlando Bloom
Kingdom of Heaven,Eva Green
Kingdom of Heaven,Jeremy Irons
Stuart Little,Michael J. Fox
Stuart Little,Geena Davis
Stuart Little,Hugh Laurie
The Princess and the Frog,Anika Noni Rose
The Princess and the Frog,Bruno Campos
The Princess and the Frog,Keith David
The Martian,Matt Damon
The Martian,Jessica Chastain
The Martian,Kristen Wiig
The Island,Ewan McGregor
The Island,Scarlett Johansson
The Island,Djimon Hounsou
Town & Country,Warren Beatty
Town & Country,Diane Keaton
Town & Country,Goldie Hawn
Gone in Sixty Seconds,Nicolas Cage
Gone in Sixty Seconds,Angelina Jolie
Gone in Sixty Seconds,Giovanni Ribisi
Gladiator,Russell Crowe
Gladiator,Joaquin Phoenix
Gladiator,Connie Nielsen
Minority Report,Tom Cruise
Minority Report,Colin Farrell
Minority Report,Samantha Morton
Harry Potter and the Chamber of Secrets,Daniel Radcliffe
Harry Potter and the Chamber of Secrets,Rupert Grint
Harry Potter and the Chamber of Secrets,Emma Watson
Casino Royale,Daniel Craig
Casino Royale,Eva Green
Casino Royale,Mads Mikkelsen
Planet of the Apes,Mark Wahlberg
Planet of the Apes,Tim Roth
Planet of the Apes,Helena Bonham Carter
Terminator 2: Judgment Day,Arnold Schwarzenegger
Terminator 2: Judgment Day,Linda Hamilton
Terminator 2: Judgment Day,Robert Patrick
Public Enemies,Christian Bale
Public Enemies,Johnny Depp
Public Enemies,Giovanni Ribisi
American Gangster,Denzel Washington
American Gangster,Russell Crowe
American Gangster,Chiwetel Ejiofor
True Lies,Arnold Schwarzenegger
True Lies,Jamie Lee Curtis
True Lies,Tom Arnold
The Taking of Pelham 1 2 3,Denzel Washington
The Taking of Pelham 1 2 3,John Travolta
The Taking of Pelham 1 2 3,Luis Guzmán
Little Fockers,Robert De Niro
Little Fockers,Ben Stiller
Little Fockers,Owen Wilson
The Other Guys,Will Ferrell
The Other Guys,Mark Wahlberg
The Other Guys,Eva Mendes
Eraser,Arnold Schwarzenegger
Eraser,James Caan
Eraser,Vanessa Williams
Django Unchained,Jamie Foxx
Django Unchained,Christoph Waltz
Django Unchained,Leonardo DiCaprio
The Hunchback of Notre Dame,Tom Hulce
The Hunchback of Notre Dame,Demi Moore
The Hunchback of Notre Dame,Tony Jay
The Emperor's New Groove,David Spade
The Emperor's New Groove,John Goodman
The Emperor's New Groove,Eartha Kitt
The Expendables 2,Sylvester Stallone
The Expendables 2,Jason Statham
The Expendables 2,Dolph Lundgren
National Treasure,Nicolas Cage
National Treasure,Diane Kruger
National Treasure,Justin Bartha
Eragon,Ed Speleers
Eragon,Jeremy Irons
Eragon,Sienna Guillory
Where the Wild Things Are,Max Records
Where the Wild Things Are,Catherine Keener
Where the Wild Things Are,Lauren Ambrose
Epic,Josh Hutcherson
Epic,Amanda Seyfried
Epic,Colin Farrell
The Tourist,Johnny Depp
The Tourist,Angelina Jolie
The Tourist,Paul Bettany
End of Days,Arnold Schwarzenegger
End of Days,Gabriel Byrne
End of Days,Kevin Pollak
Blood Diamond,Leonardo DiCaprio
Blood Diamond,Djimon Hounsou
Blood Diamond,Jennifer Connelly
The Wolf of Wall Street,Leonardo DiCaprio
The Wolf of Wall Street,Jonah Hill
The Wolf of Wall Street,Margot Robbie
Batman Forever,Val Kilmer
Batman Forever,Tommy Lee Jones
Batman Forever,Jim Carrey
Starship Troopers,Casper Van Dien
Starship Troopers,Dina Meyer
Starship Troopers,Denise Richards
Cloud Atlas,Tom Hanks
Cloud Atlas,Halle Berry
Cloud Atlas,Jim Broadbent
Legend of the Guardians: The Owls of Ga'Hoole,Emily Barclay
Legend of the Guardians: The Owls of Ga'Hoole,Abbie Cornish
Legend of the Guardians: The Owls of Ga'Hoole,Essie Davis
Catwoman,Halle Berry
Catwoman,Benjamin Bratt
Catwoman,Sharon Stone
Hercules,Dwayne Johnson
Hercules,Ian McShane
Hercules,John Hurt
Treasure Planet,Joseph Gordon-Levitt
Treasure Planet,Brian Murray
Treasure Planet,David Hyde Pierce
Land of the Lost,Will Ferrell
Land of the Lost,Anna Friel
Land of the Lost,Danny McBride
The Expendables 3,Sylvester Stallone
The Expendables 3,Jason Statham
The Expendables 3,Harrison Ford
Point Break,Edgar Ramírez
Point Break,Luke Bracey
Point Break,Teresa Palmer
Son of the Mask,Jamie Kennedy
Son of the Mask,Alan Cumming
Son of the Mask,Traylor Howard
In the Heart of the Sea,Chris Hemsworth
In the Heart of the Sea,Benjamin Walker
In the Heart of the Sea,Cillian Murphy
The Adventures of Pluto Nash,Eddie Murphy
The Adventures of Pluto Nash,Randy Quaid
The Adventures of Pluto Nash,Rosario Dawson
Green Zone,Matt Damon
Green Zone,Greg Kinnear
Green Zone,Brendan Gleeson
The Peanuts Movie,Noah Schnapp
The Peanuts Movie,Bill Melendez
The Peanuts Movie,Venus Schultheis
The Spanish Prisoner,Steve Martin
The Spanish Prisoner,Campbell Scott
The Spanish Prisoner,Ben Gazzara
The Mummy Returns,Brendan Fraser
The Mummy Returns,Rachel Weisz
The Mummy Returns,John Hannah
Gangs of New York,Leonardo DiCaprio
Gangs of New York,Daniel Day-Lewis
Gangs of New York,Cameron Diaz
The Flowers of War,Christian Bale
The Flowers of War,Ni Ni
The Flowers of War,Tong Dawei
Surf's Up,Shia LaBeouf
Surf's Up,Jeff Bridges
Surf's Up,Zooey Deschanel
The Stepford Wives,Nicole Kidman
The Stepford Wives,Matthew Broderick
The Stepford Wives,Bette Midler
Black Hawk Down,Josh Hartnett
Black Hawk Down,Ewan McGregor
Black Hawk Down,Jason Isaacs
The Campaign,Will Ferrell
The Campaign,Zach Galifianakis
The Campaign,Dylan McDermott
The Fifth Element,Bruce Willis
The Fifth Element,Gary Oldman
The Fifth Element,Ian Holm
Sex and the City 2,Sarah Jessica Parker
Sex and the City 2,Kristin Davis
Sex and the City 2,Cynthia Nixon
The Road to El Dorado,Kenneth Branagh
The Road to El Dorado,Kevin Kline
The Road to El Dorado,Rosie Perez
Ice Age: Continental Drift,John Leguizamo
Ice Age: Continental Drift,Ray Romano
Ice Age: Continental Drift,Chris Wedge
Cinderella,Lily James
Cinderella,Cate Blanchett
Cinderella,Richard Madden
The Lovely Bones,Rachel Weisz
The Lovely Bones,Mark Wahlberg
The Lovely Bones,Susan Sarandon
Finding Nemo,Albert Brooks
Finding Nemo,Ellen DeGeneres
Finding Nemo,Alexander Gould
The Lord of the Rings: The Return of the King,Elijah Wood
The Lord of the Rings: The Return of the King,Ian McKellen
The Lord of the Rings: The Return of the King,Viggo Mortensen
The Lord of the Rings: The Two Towers,Elijah Wood
The Lord of the Rings: The Two Towers,Ian McKellen
The Lord of the Rings: The Two Towers,Viggo Mortensen
Seventh Son,Jeff Bridges
Seventh Son,Julianne Moore
Seventh Son,Ben Barnes
Lara Croft: Tomb Raider,Angelina Jolie
Lara Croft: Tomb Raider,Jon Voight
Lara Croft: Tomb Raider,Iain Glen
Transcendence,Johnny Depp
Transcendence,Paul Bettany
Transcendence,Rebecca Hall
Jurassic Park III,Sam Neill
Jurassic Park III,William H. Macy
Jurassic Park III,Téa Leoni
Rise of the Planet of the Apes,James Franco
Rise of the Planet of the Apes,Freida Pinto
Rise of the Planet of the Apes,John Lithgow
The Spiderwick Chronicles,Freddie Highmore
The Spiderwick Chronicles,Mary-Louise Parker
The Spiderwick Chronicles,Nick Nolte
A Good Day to Die Hard,Bruce Willis
A Good Day to Die Hard,Jai Courtney
A Good Day to Die Hard,Sebastian Koch
The Alamo,Dennis Quaid
The Alamo,Billy Bob Thornton
The Alamo,Jason Patric
The Incredibles,Craig T. Nelson
The Incredibles,Holly Hunter
The Incredibles,Samuel L. Jackson
Cutthroat Island,Geena Davis
Cutthroat Island,Matthew Modine
Cutthroat Island,Frank Langella
Percy Jackson & the Olympians: The Lightning Thief,Logan Lerman
Percy Jackson & the Olympians: The Lightning Thief,Brandon T. Jackson
Percy Jackson & the Olympians: The Lightning Thief,Alexandra Daddario
Men in Black,Tommy Lee Jones
Men in Black,Will Smith
Men in Black,Linda Fiorentino
Toy Story 2,Tom Hanks
Toy Story 2,Tim Allen
Toy Story 2,Joan Cusack
Unstoppable,Denzel Washington
Unstoppable,Chris Pine
Unstoppable,Rosario Dawson
Rush Hour 2,Chris Tucker
Rush Hour 2,Jackie Chan
Rush Hour 2,Zhang Ziyi
What Lies Beneath,Harrison Ford
What Lies Beneath,Michelle Pfeiffer
What Lies Beneath,Diana Scarwid
Cloudy with a Chance of Meatballs,Bill Hader
Cloudy with a Chance of Meatballs,Anna Faris
Cloudy with a Chance of Meatballs,James Caan
Ice Age: Dawn of the Dinosaurs,Ray Romano
Ice Age: Dawn of the Dinosaurs,John Leguizamo
Ice Age: Dawn of the Dinosaurs,Denis Leary
The Secret Life of Walter Mitty,Ben Stiller
The Secret Life of Walter Mitty,Kristen Wiig
The Secret Life of Walter Mitty,Patton Oswalt
Charlie's Angels,Cameron Diaz
Charlie's Angels,Lucy Liu
Charlie's Angels,Drew Barrymore
The Departed,Leonardo DiCaprio
The Departed,Matt Damon
The Departed,Jack Nicholson
Mulan,Eddie Murphy
Mulan,Jackie Chan
Mulan,Ming-Na Wen
Tropic Thunder,Ben Stiller
Tropic Thunder,Jack Black
Tropic Thunder,Robert Downey Jr.
The Girl with the Dragon Tattoo,Daniel Craig
The Girl with the Dragon Tattoo,Rooney Mara
The Girl with the Dragon Tattoo,Christopher Plummer
Die Hard: With a Vengeance,Bruce Willis
Die Hard: With a Vengeance,Jeremy Irons
Die Hard: With a Vengeance,Samuel L. Jackson
Sherlock Holmes,Robert Downey Jr.
Sherlock Holmes,Jude Law
Sherlock Holmes,Rachel McAdams
Ben-Hur,Jack Huston
Ben-Hur,Toby Kebbell
Ben-Hur,Rodrigo Santoro
Atlantis: The Lost Empire,Michael J. Fox
Atlantis: The Lost Empire,Corey Burton
Atlantis: The Lost Empire,Claudia Christian
Alvin and the Chipmunks: The Road Chip,Jason Lee
Alvin and the Chipmunks: The Road Chip,Justin Long
Alvin and the Chipmunks: The Road Chip,Bella Thorne
Valkyrie,Tom Cruise
Valkyrie,Carice van Houten
Valkyrie,Kenneth Branagh
You Don't Mess with the Zohan,Adam Sandler
You Don't Mess with the Zohan,John Turturro
You Don't Mess with the Zohan,Emmanuelle Chriqui
Pixels,Adam Sandler
Pixels,Michelle Monaghan
Pixels,Peter Dinklage
A.I. Artificial Intelligence,Haley Joel Osment
A.I. Artificial Intelligence,Frances O'Connor
A.I. Artificial Intelligence,Sam Robards
The Haunted Mansion,Eddie Murphy
The Haunted Mansion,Terence Stamp
The Haunted Mansion,Nathaniel Parker
Contact,Jodie Foster
Contact,Matthew McConaughey
Contact,James Woods
Hollow Man,Kevin Bacon
Hollow Man,Elisabeth Shue
Hollow Man,Josh Brolin
The Interpreter,Nicole Kidman
The Interpreter,Sean Penn
The Interpreter,Catherine Keener
Percy Jackson: Sea of Monsters,Logan Lerman
Percy Jackson: Sea of Monsters,Alexandra Daddario
Percy Jackson: Sea of Monsters,Douglas Smith
Lara Croft Tomb Raider: The Cradle of Life,Angelina Jolie
Lara Croft Tomb Raider: The Cradle of Life,Gerard Butler
Lara Croft Tomb Raider: The Cradle of Life,Noah Taylor
Now You See Me 2,Jesse Eisenberg
Now You See Me 2,Woody Harrelson
Now You See Me 2,Mark Ruffalo
The Saint,Val Kilmer
The Saint,Elisabeth Shue
The Saint,Rade Serbedzija
Spy Game,Robert Redford
Spy Game,Brad Pitt
Spy Game,Catherine McCormack
Mission to Mars,Gary Sinise
Mission to Mars,Tim Robbins
Mission to Mars,Don Cheadle
Rio,Jesse Eisenberg
Rio,Anne Hathaway
Rio,Leslie Mann
Bicentennial Man,Robin Williams
Bicentennial Man,Sam Neill
Bicentennial Man,Embeth Davidtz
Volcano,Tommy Lee Jones
Volcano,Anne Heche
Volcano,Gaby Hoffmann
The Devil's Own,Harrison Ford
The Devil's Own,Brad Pitt
The Devil's Own,Margaret Colin
K-19: The Widowmaker,Harrison Ford
K-19: The Widowmaker,Liam Neeson
K-19: The Widowmaker,Peter Sarsgaard
Conan the Barbarian,Arnold Schwarzenegger
Conan the Barbarian,James Earl Jones
Conan the Barbarian,Max von Sydow
Cinderella Man,Russell Crowe
Cinderella Man,Renée Zellweger
Cinderella Man,Paul Giamatti
The Nutcracker: The Untold Story,Elle Fanning
The Nutcracker: The Untold Story,Nathan Lane
The Nutcracker: The Untold Story,John Turturro
Seabiscuit,Jeff Bridges
Seabiscuit,David McCullough
Seabiscuit,Chris Cooper
Twister,Helen Hunt
Twister,Bill Paxton
Twister,Cary Elwes
Cast Away,Tom Hanks
Cast Away,Helen Hunt
Cast Away,Chris Noth
Happy Feet,Elijah Wood
Happy Feet,Robin Williams
Happy Feet,Brittany Murphy
The Bourne Supremacy,Matt Damon
The Bourne Supremacy,Franka Potente
The Bourne Supremacy,Brian Cox
Air Force One,Harrison Ford
Air Force One,Gary Oldman
Air Force One,Glenn Close
Ocean's Eleven,George Clooney
Ocean's Eleven,Brad Pitt
Ocean's Eleven,Matt Damon
The Three Musketeers,Milla Jovovich
The Three Musketeers,Orlando Bloom
The Three Musketeers,Logan Lerman
Hotel Transylvania,Adam Sandler
Hotel Transylvania,Steve Buscemi
Hotel Transylvania,David Spade
Enchanted,Amy Adams
Enchanted,Patrick Dempsey
Enchanted,James Marsden
Safe House,Denzel Washington
Safe House,Ryan Reynolds
Safe House,Vera Farmiga
102 Dalmatians,Glenn Close
102 Dalmatians,Ioan Gruffudd
102 Dalmatians,Alice Evans
Tower Heist,Ben Stiller
Tower Heist,Eddie Murphy
Tower Heist,Casey Affleck
The Holiday,Cameron Diaz
The Holiday,Kate Winslet
The Holiday,Jude Law
Enemy of the State,Will Smith
Enemy of the State,Gene Hackman
Enemy of the State,Jon Voight
It's Complicated,Meryl Streep
It's Complicated,Alec Baldwin
It's Complicated,Steve Martin
Ocean's Thirteen,George Clooney
Ocean's Thirteen,Brad Pitt
Ocean's Thirteen,Matt Damon
Open Season,Martin Lawrence
Open Season,Ashton Kutcher
Open Season,Gary Sinise
Divergent,Shailene Woodley
Divergent,Theo James
Divergent,Kate Winslet
Enemy at the Gates,Jude Law
Enemy at the Gates,Rachel Weisz
Enemy at the Gates,Ed Harris
The Rundown,Dwayne Johnson
The Rundown,Seann William Scott
The Rundown,Rosario Dawson
Last Action Hero,Arnold Schwarzenegger
Last Action Hero,F. Murray Abraham
Last Action Hero,Art Carney
Memoirs of a Geisha,Zhang Ziyi
Memoirs of a Geisha,Gong Li
Memoirs of a Geisha,Youki Kudoh
The Fast and the Furious: Tokyo Drift,Lucas Black
The Fast and the Furious: Tokyo Drift,Nathalie Kelley
The Fast and the Furious: Tokyo Drift,Sung Kang
Arthur Christmas,James McAvoy
Arthur Christmas,Hugh Laurie
Arthur Christmas,Bill Nighy
Meet Joe Black,Brad Pitt
Meet Joe Black,Anthony Hopkins
Meet Joe Black,Claire Forlani
Collateral Damage,Arnold Schwarzenegger
Collateral Damage,Francesca Neri
Collateral Damage,Elias Koteas
All That Jazz,Roy Scheider
All That Jazz,Jessica Lange
All That Jazz,Leland Palmer
Mirror Mirror,Julia Roberts
Mirror Mirror,Lily Collins
Mirror Mirror,Armie Hammer
Scott Pilgrim vs. the World,Michael Cera
Scott Pilgrim vs. the World,Mary Elizabeth Winstead
Scott Pilgrim vs. the World,Kieran Culkin
The Core,Aaron Eckhart
The Core,Hilary Swank
The Core,Delroy Lindo
Nutty Professor II: The Klumps,Eddie Murphy
Nutty Professor II: The Klumps,Janet Jackson
Nutty Professor II: The Klumps,Larry Miller
Scooby-Doo,Freddie Prinze Jr.
Scooby-Doo,Sarah Michelle Gellar
Scooby-Doo,Matthew Lillard
Dredd,Karl Urban
Dredd,Olivia Thirlby
Dredd,Lena Headey
Click,Adam Sandler
Click,Kate Beckinsale
Click,Christopher Walken
Creepshow,Hal Holbrook
Creepshow,Adrienne Barbeau
Creepshow,Fritz Weaver
Cats & Dogs 2 : The Revenge of Kitty Galore,James Marsden
Cats & Dogs 2 : The Revenge of Kitty Galore,Nick Nolte
Cats & Dogs 2 : The Revenge of Kitty Galore,Christina Applegate
Jumper,Hayden Christensen
Jumper,Jamie Bell
Jumper,Samuel L. Jackson
Hellboy II: The Golden Army,Ron Perlman
Hellboy II: The Golden Army,Selma Blair
Hellboy II: The Golden Army,Jeffrey Tambor
Zodiac,Jake Gyllenhaal
Zodiac,Robert Downey Jr.
Zodiac,Mark Ruffalo
The 6th Day,Arnold Schwarzenegger
The 6th Day,Michael Rapaport
The 6th Day,Tony Goldwyn
Bruce Almighty,Jim Carrey
Bruce Almighty,Jennifer Aniston
Bruce Almighty,Philip Baker Hall
The Expendables,Sylvester Stallone
The Expendables,Jason Statham
The Expendables,Dolph Lundgren
Mission: Impossible,Tom Cruise
Mission: Impossible,Jon Voight
Mission: Impossible,Emmanuelle Béart
The Hunger Games,Jennifer Lawrence
The Hunger Games,Josh Hutcherson
The Hunger Games,Liam Hemsworth
The Hangover Part II,Bradley Cooper
The Hangover Part II,Ed Helms
The Hangover Part II,Zach Galifianakis
Batman Returns,Michael Keaton
Batman Returns,Danny DeVito
Batman Returns,Michelle Pfeiffer
Over the Hedge,Bruce Willis
Over the Hedge,Garry Shandling
Over the Hedge,Steve Carell
Lilo & Stitch,Chris Sanders
Lilo & Stitch,Daveigh Chase
Lilo & Stitch,Tia Carrere
Charlotte's Web,Julia Roberts
Charlotte's Web,Steve Buscemi
Charlotte's Web,John Cleese
Deep Impact,Robert Duvall
Deep Impact,Téa Leoni
Deep Impact,Elijah Wood
RED 2,Bruce Willis
RED 2,Catherine Zeta-Jones
RED 2,Anthony Hopkins
The Longest Yard,Adam Sandler
The Longest Yard,Chris Rock
The Longest Yard,Burt Reynolds
Alvin and the Chipmunks: Chipwrecked,Jason Lee
Alvin and the Chipmunks: Chipwrecked,David Cross
Alvin and the Chipmunks: Chipwrecked,Jenny Slate
Grown Ups 2,Adam Sandler
Grown Ups 2,Kevin James
Grown Ups 2,Chris Rock
Get Smart,Steve Carell
Get Smart,Anne Hathaway
Get Smart,Dwayne Johnson
Something's Gotta Give,Jack Nicholson
Something's Gotta Give,Diane Keaton
Something's Gotta Give,Keanu Reeves
Shutter Island,Leonardo DiCaprio
Shutter Island,Mark Ruffalo
Shutter Island,Ben Kingsley
Four Christmases,Vince Vaughn
Four Christmases,Reese Witherspoon
Four Christmases,Robert Duvall
Robots,Robin Williams
Robots,Ewan McGregor
Robots,Halle Berry
Face/Off,John Travolta
Face/Off,Nicolas Cage
Face/Off,Joan Allen
Bedtime Stories,Adam Sandler
Bedtime Stories,Keri Russell
Bedtime Stories,Guy Pearce
Road to Perdition,Tom Hanks
Road to Perdition,Tyler Hoechlin
Road to Perdition,Jennifer Jason Leigh
Just Go with It,Adam Sandler
Just Go with It,Jennifer Aniston
Just Go with It,Nicole Kidman
Con Air,Nicolas Cage
Con Air,John Cusack
Con Air,John Malkovich
Eagle Eye,Shia LaBeouf
Eagle Eye,Michelle Monaghan
Eagle Eye,Rosario Dawson
Cold Mountain,Jude Law
Cold Mountain,Nicole Kidman
Cold Mountain,Renée Zellweger
The Book of Eli,Denzel Washington
The Book of Eli,Gary Oldman
The Book of Eli,Mila Kunis
Flubber,Robin Williams
Flubber,Marcia Gay Harden
Flubber,Christopher McDonald
The Haunting,Liam Neeson
The Haunting,Catherine Zeta-Jones
The Haunting,Owen Wilson
Space Jam,Michael Jordan
Space Jam,Wayne Knight
Space Jam,Billy West
The Pink Panther,Steve Martin
The Pink Panther,Kevin Kline
The Pink Panther,Jean Reno
The Day the Earth Stood Still,Keanu Reeves
The Day the Earth Stood Still,Jennifer Connelly
The Day the Earth Stood Still,Kathy Bates
Conspiracy Theory,Mel Gibson
Conspiracy Theory,Julia Roberts
Conspiracy Theory,Patrick Stewart
Fury,Brad Pitt
Fury,Shia LaBeouf
Fury,Logan Lerman
Six Days Seven Nights,Harrison Ford
Six Days Seven Nights,Anne Heche
Six Days Seven Nights,David Schwimmer
Yogi Bear,Dan Aykroyd
Yogi Bear,Justin Timberlake
Yogi Bear,Anna Faris
Spirit: Stallion of the Cimarron,Matt Damon
Spirit: Stallion of the Cimarron,James Cromwell
Spirit: Stallion of the Cimarron,Daniel Studi
Zookeeper,Kevin James
