Type,Rating,Latitude,Longitude,Year,Magnitude,Mass,VEI
Volcano,1,3.67,125.5,1913.0,,,2.0
Volcano,1,-8.53,122.775,1869.0,,,2.0
Volcano,1,-8.0,113.34200000000001,1869.0,,,2.0
Volcano,1,2.28,125.425,1870.0,,,2.0
Volcano,1,24.0,121.83,1853.0,,,2.0
Volcano,1,19.425,-155.292,1924.0,,,2.0
Volcano,1,2.78,125.48,1940.0,,,2.0
Volcano,1,36.404,25.396,1928.0,,,2.0
Volcano,1,13.257,123.685,1938.0,,,2.0
Volcano,1,-38.692,-71.729,1937.0,,,2.0
Volcano,1,12.77,124.05,1933.0,,,2.0
Volcano,1,30.43,130.22,1841.0,,,2.0
Volcano,1,-8.0,113.34200000000001,1843.0,,,2.0
Volcano,1,37.734,15.004000000000001,1843.0,,,2.0
Volcano,1,1.1079999999999999,124.725,1845.0,,,2.0
Volcano,1,-6.77,107.6,1846.0,,,2.0
Volcano,1,-6.102,105.42299999999999,1930.0,,,2.0
